"doc_id","file_name","text"
1,"1.pdf","жн*
Голова поболит и перестанет.
Ребята разойдутся по домам.
Синяки станут зелёные, потом жёлтые.
Потом из этой туманности
выйдут новые люди:
менее уязвимые.
Вообще неубиваемые.

и
"
2,"10.pdf","вн» вн

Однажды хоботки павловний Насекомые ползут по щекам

опять коснутся моего лица, под действием силы

нежные, притяжения Земли. Что-то

чтобы причинить боль. отделяется отпадает от сердца без
болезненно и легко

Дым черто (но потом оказывается

полоха и хосты, что оно отвечало за эту самую

освещённые солнцем. складочку, это

Впрочем, всё остальное особенное выражение).

тоже превращается в дым. Излучение между пальцев и шлейф
неразличимого цвета,

Идым отечества того цвета

отвратителен, неочевидное прикосновение.

как запах

прибрежного

шашлыка.

44 45
"
3,"2.pdf","жж» жж»
железная дорога зимородок
сделана из жалости и жести. снег уродился зимой
сделан из жалости: лечит землю, не будто какое
обижает людей. придорожные отродье
заборы огораживают: защищают от злых сил замаранное языком
стелется погода (надо всем одинаковая) туман скры
светровный вает истерический
в облаке едет золотой мотоциклет избыток вещей
делая вещи тихими
выносимыми
12 13
"
4,"3.pdf","жн* жн*
С колеса обозрения видно, что наступила осень: В него вошла душа Целана,
красные и жёлтые деревья, люди но не прижилась,
летают на ракете посреди грусти. Бездомные, и теперь он живёт без души,
как космонавты в космосе: никогда не будут «просто как свитер»,
похоронены, так и будут дрейфовать или сгорят в Хельсинки.
среди звёзд. Тихие животные нежно лижут
кожу и шерсть, на Земле.

16 17
"
5,"4.pdf","жж» вн
Все силы ума ушли в горе, как на войну. Сегодня ивы тревожны, как маленькие животные.
На горб место для плакальщицы: сверху память — кусты и бугры. Оказывается, что иежи переносят бешенство, и белки.
Гуси щиплют эту траву с глазами сестриц. Не следует брать в руки ежа, мирно сидящего на дорожке.
Здесь не место для жалоб: здесь осуществляется работа Иубелки своё, компактное, бешенство, и отчаянье в каждой кроне.
по сборке тел. Барт знает: наваждение — это чёрный дзен, — и всё утро
У горящего дома безмятежно закуривает человек, я мечтаю о запястье со шрамом в форме кинжала.
и только в конце уже понимаешь: это и есть поджигатель, — Эта формула, «я хочу смотреть на деревья вместе с тобой», и другая
когда он страшным шёпотом признается в любви. («я хочу умереть») равнозначны и равно беспомощны,
как банально и беспомощно всё, произносимое любящим.
20 21
"
6,"5.pdf","вн» вн
На въезде в город пронзительный Сбиты балконы с балясинами на Липовой, что означает
небоскрёб, вычитающий зрение, по силе уже необратимое крушение: конец
воздействия равный удару молнии. В тот день этой затянувшейся связи и самонаказания.
осень осознана как слепота, короткий Деревья, собравшиеся как друиды, рогатины
провал / ошибка в кинопроцессе, тополей, брандмауэры. Другие места,
вызванная разрывом магни маркированные как боль. Лупоглазые саженцы ивы
тной ленты. Ускользающий руль, никого (некоторые из них до сих пор спелёнаты),
не щадящий, всё заливающий свет, чье мистическое свечение нельзя отрицать.
становящийся ясностью. Небо стянуто в одну точку и расположено
полосками. Земля надорвана,
пережившая ампутацию человека.
22 23
"
7,"6.pdf","жж» жж»
Иногда колокольный звон напоминает Возможно, кто-то хочет, чтобы было больно, и я действительно
крик кукушки, и тогда, в тревожные сумерки, испытываю боль. Прелюдия, фуга, интерлюдия,
к нему прислушиваешься со страхом, считаешь удары, фуга, постлюдия. Это тоже фуга, только маленькая.
какесли бы он мог — что-то отмерять, маркировать. Херувимы и серафимы, красненькие и синенькие.
Вечером на мосту ветрено и легко. Тот же мост, Всегда есть вероятность сделать ошибку, зайти за алтарь /
та же погода. Проходит катер и разносит перекреститься в перчатке, так что теперь
чаек на разные плоскости (чайки размечают пейзаж). «небесный огонь пойдет по-другому», неправильно, иты
Я говорю о головокружительности этих снимков, сделанных будешь наказан. Письмо будет отправлено
сновых не одному, а множеству адресатов, выделения после близости
точек (падения?), с крыш, в которых слишком много свободы приобретут резкий неприятный запах, и еще полгода
и дали (как и наэтом мосту). Ты отвечаешь: конечно, две, три будет больно ходить. В переходе бездомные и лежачие, один
бутылки коньяка в день и это непрерывное опьянение... перепрятывает из рукава в носок маленький сверток, озираясь
Ия вспоминаю, (я стою за колонной). Меня скорее удивляет эта деловитость
как Снигиревская рассказывает: в юности в самом красивом из них, которого я отличаю и высматриваю.
пережил несчастье в любви — стех пор «мечтал Конечно, смотреть так на незнакомца было бы бестактно.
напиться и умереть. В конце концов Но этот никогда не видит меня, поэтому это что-то вроде
так и случилось». безответной любви, уже несколько лет.
Иногда он пьет кофе утром, у большой витрины в кафе.
Незнаю, какему удалось обмануть их, красных и коричневых,
покрытых кожурой (он никогда не пахнет, всегда
сясным лицом), избежать телесного наказания.
«Неумер, но отделился», — скажет Арто, —
аКафкина собака сказала бы: «выломился
из обычного порядка вещей, и всё было тихо».
26 27
"
8,"7.pdf","Товп Ое Апагеа, Рааг, 1978 ж**
Не только «землистого цвета», но и «пожухлые»: осенние Листьев нет, безрадостно. Недели и месяцы
любовники, и процентное соотношение вовлечённости монотонной кропотливой работы, без прикосновения.
вэто объятие, где она раздета и приникает, аон — Позднее лето, и старушки на набережной, вспущенных стрингах:
не принадлежит больше, в горчичных вельветовых джинсах до них никто уже не дотрагивается с любовью,
ис рукой на бедре, в которой тоже — растерянность. кроме этого скупого солнца.
И будут «недели и годы, чтобы с ними прощаться», на этой Я больше не думаю, что поэзия должна быть непрозрачной,
фотографии; она крепкая и тяжёлая, но её ягодицы мягче, а сердца, она должна быть строгой и доверительной.
ты говоришь, можно только давать взаймы; удаляйся более Снег падает ровно, на маленькие фиолетовые цветы,
равномерно, пожалуйста, — теперь уже я говорю, когда какесли бы ТОТ, КОГО ТЫ любишь, был тде-то поблизости.
хочу сфотографировать тебя у стеклянного павильона, — не
удаляйся, пожалуйста, так стремительно, приближайся, держи
дистанцию, когда поравняешься с туей, не сужая
горизонт воображения.

зо 31
"
9,"8.pdf","Всё заживает ***

заживают морские глубины Можно сказать, что в действительности не существу-

заживают пытливые ламантины ет ничего (чудесного? всеобщего?), кроме переме-
ны погоды. Туман отваживает, в нём можно «жить

заживает битая арматура гадательно» (пока не поймешь, что и нетуман вовсе,

заживает высокая температура а гарь, копоть, запах костра). Но пока он сгущается
в птиц, дома и фигуру встречного, свидетеля чёрного

заживают тёмные леса сада, вопрошающего о природе роста. С ним вместе

заживают безразмерные небеса находишь единственный скорченный лист: пусть это
будет лист дуба.

заживают все друзья

в маленьких кружочках Входишь втуман, как в неведомое, потому какон скра-

илампочки в комнате дывает очевидность и выморочность жизни. Нет ни

начинают светиться сами собой утра, ни дня, а после ночи приходит вторая ночь (оп-
рокинутая? перверсивная?), и редкие пешеходы-иссле-
дователи прочёсывают туман, в поисках его истока?
предела?

38 39
"
10,"9.pdf","жн* жн*

Драгоценно-нежное, лежа Вечерний маршрут, проложенный

щее на моем лице, которое при среди клочьев поэзии. Красный человек,

нято трактовать как мачи уснувший в береговой зоне,

стский жест, вы в качестве молчаливого спутника,

пад патриархата, разве его опасные знакомцы, говорящие

ради этого я перевора мне «Здравствуйте» на пустыре.

чивала тебя, — чтобы дрожащих Парус, скользящий вдоль сумерек,

прикосновение глаз, мерцание моста, скрадываемое туманом.

ныряющих на непосиль Песок, пёс, линия отрыва и повсеместная

ную глубину, дель влажность, разрешающая волосам

фины аи оёасе ае Гаите быть свободными, а сердцу пустым.
Чувство сбывающегося горизонта
и встречи с собой, без свидетелей, возле ЗСД,
без ожиданий, без страха, без надежд.

42 43
"
